"Notes"	"County"	"County Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Births	Death Rate
	"Pinal County, AZ"	"04021"	"Puerto Rican"	"2180-8"	Suppressed	63	Suppressed
	"Pinal County, AZ"	"04021"	"Cuban"	"2182-4"	Suppressed	12	Suppressed
	"Pinal County, AZ"	"04021"	"Central or South American"	"4"	Suppressed	72	Suppressed
	"Pinal County, AZ"	"04021"	"Non-Hispanic White"	"6"	24	4499	5.33
	"Pinal County, AZ"	"04021"	"Non-Hispanic Black"	"7"	Suppressed	432	Suppressed
	"Unidentified Counties, AZ"	"04999"	"Mexican"	"2148-5"	352	57959	6.07
	"Unidentified Counties, AZ"	"04999"	"Puerto Rican"	"2180-8"	Suppressed	599	Suppressed
	"Unidentified Counties, AZ"	"04999"	"Cuban"	"2182-4"	Suppressed	92	Suppressed
	"Unidentified Counties, AZ"	"04999"	"Central or South American"	"4"	Suppressed	787	Suppressed
	"Unidentified Counties, AZ"	"04999"	"Non-Hispanic White"	"6"	452	79481	5.69
	"Unidentified Counties, AZ"	"04999"	"Non-Hispanic Black"	"7"	32	3049	10.50
	"Pulaski County, AR"	"05119"	"Mexican"	"2148-5"	22	3746	5.87
	"Pulaski County, AR"	"05119"	"Puerto Rican"	"2180-8"	Suppressed	122	Suppressed
	"Pulaski County, AR"	"05119"	"Cuban"	"2182-4"	Suppressed	22	Suppressed
	"Pulaski County, AR"	"05119"	"Central or South American"	"4"	Suppressed	941	Suppressed
	"Pulaski County, AR"	"05119"	"Non-Hispanic White"	"6"	118	23667	4.99
	"Pulaski County, AR"	"05119"	"Non-Hispanic Black"	"7"	275	21389	12.86
	"Unidentified Counties, AR"	"05999"	"Mexican"	"2148-5"	139	24477	5.68
	"Unidentified Counties, AR"	"05999"	"Puerto Rican"	"2180-8"	Suppressed	447	Suppressed
	"Unidentified Counties, AR"	"05999"	"Cuban"	"2182-4"	Suppressed	109	Suppressed
	"Unidentified Counties, AR"	"05999"	"Central or South American"	"4"	22	5563	3.95
	"Unidentified Counties, AR"	"05999"	"Non-Hispanic White"	"6"	1478	213686	6.92
	"Unidentified Counties, AR"	"05999"	"Non-Hispanic Black"	"7"	498	46332	10.75
	"Alameda County, CA"	"06001"	"Mexican"	"2148-5"	144	39575	3.64
	"Alameda County, CA"	"06001"	"Puerto Rican"	"2180-8"	Suppressed	1271	Suppressed
	"Alameda County, CA"	"06001"	"Cuban"	"2182-4"	Suppressed	177	Suppressed
	"Alameda County, CA"	"06001"	"Central or South American"	"4"	31	7927	3.91
	"Alameda County, CA"	"06001"	"Non-Hispanic White"	"6"	151	45070	3.35
	"Alameda County, CA"	"06001"	"Non-Hispanic Black"	"7"	188	20478	9.18
	"Contra Costa County, CA"	"06013"	"Mexican"	"2148-5"	124	29257	4.24
	"Contra Costa County, CA"	"06013"	"Puerto Rican"	"2180-8"	Suppressed	855	Suppressed
	"Contra Costa County, CA"	"06013"	"Cuban"	"2182-4"	Suppressed	143	Suppressed
	"Contra Costa County, CA"	"06013"	"Central or South American"	"4"	22	6668	3.30
	"Contra Costa County, CA"	"06013"	"Non-Hispanic White"	"6"	135	40439	3.34
	"Contra Costa County, CA"	"06013"	"Non-Hispanic Black"	"7"	96	10974	8.75
	"Fresno County, CA"	"06019"	"Mexican"	"2148-5"	344	60162	5.72
	"Fresno County, CA"	"06019"	"Puerto Rican"	"2180-8"	Suppressed	209	Suppressed
	"Fresno County, CA"	"06019"	"Cuban"	"2182-4"	Suppressed	32	Suppressed
	"Fresno County, CA"	"06019"	"Central or South American"	"4"	18	2513	7.16 (Unreliable)
	"Fresno County, CA"	"06019"	"Non-Hispanic White"	"6"	193	30740	6.28
	"Fresno County, CA"	"06019"	"Non-Hispanic Black"	"7"	131	7956	16.47
	"Kern County, CA"	"06029"	"Mexican"	"2148-5"	314	55903	5.62
	"Kern County, CA"	"06029"	"Puerto Rican"	"2180-8"	Suppressed	489	Suppressed
	"Kern County, CA"	"06029"	"Cuban"	"2182-4"	Suppressed	57	Suppressed
	"Kern County, CA"	"06029"	"Central or South American"	"4"	15	2109	7.11 (Unreliable)
	"Kern County, CA"	"06029"	"Non-Hispanic White"	"6"	238	37127	6.41
	"Kern County, CA"	"06029"	"Non-Hispanic Black"	"7"	83	7660	10.84
	"Los Angeles County, CA"	"06037"	"Mexican"	"2148-5"	2235	518912	4.31
	"Los Angeles County, CA"	"06037"	"Puerto Rican"	"2180-8"	20	3913	5.11
	"Los Angeles County, CA"	"06037"	"Cuban"	"2182-4"	13	2744	4.74 (Unreliable)
	"Los Angeles County, CA"	"06037"	"Central or South American"	"4"	459	107671	4.26
	"Los Angeles County, CA"	"06037"	"Non-Hispanic White"	"6"	733	218818	3.35
	"Los Angeles County, CA"	"06037"	"Non-Hispanic Black"	"7"	864	93847	9.21
	"Marin County, CA"	"06041"	"Mexican"	"2148-5"	Suppressed	459	Suppressed
	"Marin County, CA"	"06041"	"Puerto Rican"	"2180-8"	Suppressed	14	Suppressed
	"Marin County, CA"	"06041"	"Cuban"	"2182-4"	Suppressed	Suppressed	Suppressed
	"Marin County, CA"	"06041"	"Central or South American"	"4"	Suppressed	798	Suppressed
	"Marin County, CA"	"06041"	"Non-Hispanic White"	"6"	Suppressed	2610	Suppressed
	"Marin County, CA"	"06041"	"Non-Hispanic Black"	"7"	Suppressed	101	Suppressed
	"Merced County, CA"	"06047"	"Mexican"	"2148-5"	17	5462	3.11 (Unreliable)
	"Merced County, CA"	"06047"	"Puerto Rican"	"2180-8"	Suppressed	12	Suppressed
	"Merced County, CA"	"06047"	"Cuban"	"2182-4"	Suppressed	Suppressed	Suppressed
	"Merced County, CA"	"06047"	"Central or South American"	"4"	Suppressed	62	Suppressed
	"Merced County, CA"	"06047"	"Non-Hispanic White"	"6"	Suppressed	1690	Suppressed
	"Merced County, CA"	"06047"	"Non-Hispanic Black"	"7"	Suppressed	240	Suppressed
	"Monterey County, CA"	"06053"	"Mexican"	"2148-5"	188	42509	4.42
	"Monterey County, CA"	"06053"	"Puerto Rican"	"2180-8"	Suppressed	160	Suppressed
	"Monterey County, CA"	"06053"	"Cuban"	"2182-4"	Suppressed	20	Suppressed
	"Monterey County, CA"	"06053"	"Central or South American"	"4"	Suppressed	1112	Suppressed
	"Monterey County, CA"	"06053"	"Non-Hispanic White"	"6"	48	11493	4.18
	"Monterey County, CA"	"06053"	"Non-Hispanic Black"	"7"	Suppressed	921	Suppressed
	"Orange County, CA"	"06059"	"Mexican"	"2148-5"	647	144558	4.48
	"Orange County, CA"	"06059"	"Puerto Rican"	"2180-8"	Suppressed	1031	Suppressed
	"Orange County, CA"	"06059"	"Cuban"	"2182-4"	Suppressed	644	Suppressed
	"Orange County, CA"	"06059"	"Central or South American"	"4"	33	12035	2.74
	"Orange County, CA"	"06059"	"Non-Hispanic White"	"6"	317	106577	2.97
	"Orange County, CA"	"06059"	"Non-Hispanic Black"	"7"	37	4691	7.89
	"Placer County, CA"	"06061"	"Mexican"	"2148-5"	Suppressed	998	Suppressed
	"Placer County, CA"	"06061"	"Puerto Rican"	"2180-8"	Suppressed	43	Suppressed
	"Placer County, CA"	"06061"	"Cuban"	"2182-4"	Suppressed	19	Suppressed
	"Placer County, CA"	"06061"	"Central or South American"	"4"	Suppressed	113	Suppressed
	"Placer County, CA"	"06061"	"Non-Hispanic White"	"6"	23	5121	4.49
	"Placer County, CA"	"06061"	"Non-Hispanic Black"	"7"	Suppressed	102	Suppressed
	"Riverside County, CA"	"06065"	"Mexican"	"2148-5"	592	134380	4.41
	"Riverside County, CA"	"06065"	"Puerto Rican"	"2180-8"	Suppressed	1355	Suppressed
	"Riverside County, CA"	"06065"	"Cuban"	"2182-4"	Suppressed	497	Suppressed
	"Riverside County, CA"	"06065"	"Central or South American"	"4"	39	7519	5.19
	"Riverside County, CA"	"06065"	"Non-Hispanic White"	"6"	340	77269	4.40
	"Riverside County, CA"	"06065"	"Non-Hispanic Black"	"7"	155	16448	9.42
	"Sacramento County, CA"	"06067"	"Mexican"	"2148-5"	166	41839	3.97
	"Sacramento County, CA"	"06067"	"Puerto Rican"	"2180-8"	Suppressed	1301	Suppressed
	"Sacramento County, CA"	"06067"	"Cuban"	"2182-4"	Suppressed	212	Suppressed
	"Sacramento County, CA"	"06067"	"Central or South American"	"4"	16	3194	5.01 (Unreliable)
	"Sacramento County, CA"	"06067"	"Non-Hispanic White"	"6"	332	73118	4.54
	"Sacramento County, CA"	"06067"	"Non-Hispanic Black"	"7"	214	21893	9.77
	"San Bernardino County, CA"	"06071"	"Mexican"	"2148-5"	705	129644	5.44
	"San Bernardino County, CA"	"06071"	"Puerto Rican"	"2180-8"	14	1392	10.06 (Unreliable)
	"San Bernardino County, CA"	"06071"	"Cuban"	"2182-4"	Suppressed	529	Suppressed
	"San Bernardino County, CA"	"06071"	"Central or South American"	"4"	45	8776	5.13
	"San Bernardino County, CA"	"06071"	"Non-Hispanic White"	"6"	413	71285	5.79
	"San Bernardino County, CA"	"06071"	"Non-Hispanic Black"	"7"	292	26039	11.21
	"San Diego County, CA"	"06073"	"Mexican"	"2148-5"	591	158589	3.73
	"San Diego County, CA"	"06073"	"Puerto Rican"	"2180-8"	14	2492	5.62 (Unreliable)
	"San Diego County, CA"	"06073"	"Cuban"	"2182-4"	Suppressed	565	Suppressed
	"San Diego County, CA"	"06073"	"Central or South American"	"4"	22	7632	2.88
	"San Diego County, CA"	"06073"	"Non-Hispanic White"	"6"	499	140199	3.56
	"San Diego County, CA"	"06073"	"Non-Hispanic Black"	"7"	163	19621	8.31
	"San Francisco County, CA"	"06075"	"Mexican"	"2148-5"	34	7299	4.66
	"San Francisco County, CA"	"06075"	"Puerto Rican"	"2180-8"	Suppressed	305	Suppressed
	"San Francisco County, CA"	"06075"	"Cuban"	"2182-4"	Suppressed	102	Suppressed
	"San Francisco County, CA"	"06075"	"Central or South American"	"4"	25	5880	4.25
	"San Francisco County, CA"	"06075"	"Non-Hispanic White"	"6"	74	33404	2.22
	"San Francisco County, CA"	"06075"	"Non-Hispanic Black"	"7"	56	4472	12.52
	"San Joaquin County, CA"	"06077"	"Mexican"	"2148-5"	207	42104	4.92
	"San Joaquin County, CA"	"06077"	"Puerto Rican"	"2180-8"	Suppressed	564	Suppressed
	"San Joaquin County, CA"	"06077"	"Cuban"	"2182-4"	Suppressed	64	Suppressed
	"San Joaquin County, CA"	"06077"	"Central or South American"	"4"	11	1814	6.06 (Unreliable)
	"San Joaquin County, CA"	"06077"	"Non-Hispanic White"	"6"	143	24157	5.92
	"San Joaquin County, CA"	"06077"	"Non-Hispanic Black"	"7"	99	7643	12.95
	"San Luis Obispo County, CA"	"06079"	"Mexican"	"2148-5"	10	1192	8.39 (Unreliable)
	"San Luis Obispo County, CA"	"06079"	"Puerto Rican"	"2180-8"	Suppressed	16	Suppressed
	"San Luis Obispo County, CA"	"06079"	"Cuban"	"2182-4"	Suppressed	Suppressed	Suppressed
	"San Luis Obispo County, CA"	"06079"	"Central or South American"	"4"	Suppressed	75	Suppressed
	"San Luis Obispo County, CA"	"06079"	"Non-Hispanic White"	"6"	10	3189	3.14 (Unreliable)
	"San Luis Obispo County, CA"	"06079"	"Non-Hispanic Black"	"7"	Suppressed	60	Suppressed
	"San Mateo County, CA"	"06081"	"Mexican"	"2148-5"	56	16143	3.47
	"San Mateo County, CA"	"06081"	"Puerto Rican"	"2180-8"	Suppressed	338	Suppressed
	"San Mateo County, CA"	"06081"	"Cuban"	"2182-4"	Suppressed	98	Suppressed
	"San Mateo County, CA"	"06081"	"Central or South American"	"4"	24	6523	3.68
	"San Mateo County, CA"	"06081"	"Non-Hispanic White"	"6"	52	25568	2.03
	"San Mateo County, CA"	"06081"	"Non-Hispanic Black"	"7"	13	1442	9.02 (Unreliable)
	"Santa Barbara County, CA"	"06083"	"Mexican"	"2148-5"	143	32589	4.39
	"Santa Barbara County, CA"	"06083"	"Puerto Rican"	"2180-8"	Suppressed	118	Suppressed
	"Santa Barbara County, CA"	"06083"	"Cuban"	"2182-4"	Suppressed	13	Suppressed
	"Santa Barbara County, CA"	"06083"	"Central or South American"	"4"	Suppressed	1018	Suppressed
	"Santa Barbara County, CA"	"06083"	"Non-Hispanic White"	"6"	66	14743	4.48
	"Santa Barbara County, CA"	"06083"	"Non-Hispanic Black"	"7"	Suppressed	678	Suppressed
	"Santa Clara County, CA"	"06085"	"Mexican"	"2148-5"	242	65012	3.72
	"Santa Clara County, CA"	"06085"	"Puerto Rican"	"2180-8"	Suppressed	628	Suppressed
	"Santa Clara County, CA"	"06085"	"Cuban"	"2182-4"	Suppressed	164	Suppressed
	"Santa Clara County, CA"	"06085"	"Central or South American"	"4"	15	4594	3.27 (Unreliable)
	"Santa Clara County, CA"	"06085"	"Non-Hispanic White"	"6"	128	50135	2.55
	"Santa Clara County, CA"	"06085"	"Non-Hispanic Black"	"7"	32	4819	6.64
	"Santa Cruz County, CA"	"06087"	"Mexican"	"2148-5"	54	13672	3.95
	"Santa Cruz County, CA"	"06087"	"Puerto Rican"	"2180-8"	Suppressed	33	Suppressed
	"Santa Cruz County, CA"	"06087"	"Cuban"	"2182-4"	Suppressed	11	Suppressed
	"Santa Cruz County, CA"	"06087"	"Central or South American"	"4"	Suppressed	359	Suppressed
	"Santa Cruz County, CA"	"06087"	"Non-Hispanic White"	"6"	34	10967	3.10
	"Santa Cruz County, CA"	"06087"	"Non-Hispanic Black"	"7"	Suppressed	216	Suppressed
	"Solano County, CA"	"06095"	"Mexican"	"2148-5"	62	12626	4.91
	"Solano County, CA"	"06095"	"Puerto Rican"	"2180-8"	Suppressed	467	Suppressed
	"Solano County, CA"	"06095"	"Cuban"	"2182-4"	Suppressed	75	Suppressed
	"Solano County, CA"	"06095"	"Central or South American"	"4"	Suppressed	1105	Suppressed
	"Solano County, CA"	"06095"	"Non-Hispanic White"	"6"	77	16339	4.71
	"Solano County, CA"	"06095"	"Non-Hispanic Black"	"7"	62	6989	8.87
	"Sonoma County, CA"	"06097"	"Mexican"	"2148-5"	69	17017	4.05
	"Sonoma County, CA"	"06097"	"Puerto Rican"	"2180-8"	Suppressed	129	Suppressed
	"Sonoma County, CA"	"06097"	"Cuban"	"2182-4"	Suppressed	27	Suppressed
	"Sonoma County, CA"	"06097"	"Central or South American"	"4"	Suppressed	1016	Suppressed
	"Sonoma County, CA"	"06097"	"Non-Hispanic White"	"6"	79	22715	3.48
	"Sonoma County, CA"	"06097"	"Non-Hispanic Black"	"7"	Suppressed	812	Suppressed
	"Stanislaus County, CA"	"06099"	"Mexican"	"2148-5"	221	36250	6.10
	"Stanislaus County, CA"	"06099"	"Puerto Rican"	"2180-8"	Suppressed	363	Suppressed
	"Stanislaus County, CA"	"06099"	"Cuban"	"2182-4"	Suppressed	35	Suppressed
	"Stanislaus County, CA"	"06099"	"Central or South American"	"4"	Suppressed	1074	Suppressed
	"Stanislaus County, CA"	"06099"	"Non-Hispanic White"	"6"	116	25242	4.60
	"Stanislaus County, CA"	"06099"	"Non-Hispanic Black"	"7"	25	1861	13.43
	"Tulare County, CA"	"06107"	"Mexican"	"2148-5"	224	47052	4.76
	"Tulare County, CA"	"06107"	"Puerto Rican"	"2180-8"	Suppressed	119	Suppressed
	"Tulare County, CA"	"06107"	"Cuban"	"2182-4"	Suppressed	22	Suppressed
	"Tulare County, CA"	"06107"	"Central or South American"	"4"	Suppressed	486	Suppressed
	"Tulare County, CA"	"06107"	"Non-Hispanic White"	"6"	90	15710	5.73
	"Tulare County, CA"	"06107"	"Non-Hispanic Black"	"7"	Suppressed	925	Suppressed
	"Ventura County, CA"	"06111"	"Mexican"	"2148-5"	301	53850	5.59
	"Ventura County, CA"	"06111"	"Puerto Rican"	"2180-8"	Suppressed	297	Suppressed
	"Ventura County, CA"	"06111"	"Cuban"	"2182-4"	Suppressed	100	Suppressed
	"Ventura County, CA"	"06111"	"Central or South American"	"4"	10	2392	4.18 (Unreliable)
	"Ventura County, CA"	"06111"	"Non-Hispanic White"	"6"	123	31272	3.93
	"Ventura County, CA"	"06111"	"Non-Hispanic Black"	"7"	Suppressed	1321	Suppressed
	"Unidentified Counties, CA"	"06999"	"Mexican"	"2148-5"	599	130086	4.60
	"Unidentified Counties, CA"	"06999"	"Puerto Rican"	"2180-8"	Suppressed	936	Suppressed
	"Unidentified Counties, CA"	"06999"	"Cuban"	"2182-4"	Suppressed	249	Suppressed
	"Unidentified Counties, CA"	"06999"	"Central or South American"	"4"	26	6016	4.32
	"Unidentified Counties, CA"	"06999"	"Non-Hispanic White"	"6"	844	181377	4.65
	"Unidentified Counties, CA"	"06999"	"Non-Hispanic Black"	"7"	65	6593	9.86
	"Adams County, CO"	"08001"	"Mexican"	"2148-5"	112	19837	5.65
	"Adams County, CO"	"08001"	"Puerto Rican"	"2180-8"	Suppressed	264	Suppressed
	"Adams County, CO"	"08001"	"Cuban"	"2182-4"	Suppressed	82	Suppressed
	"Adams County, CO"	"08001"	"Central or South American"	"4"	Suppressed	998	Suppressed
	"Adams County, CO"	"08001"	"Non-Hispanic White"	"6"	125	29300	4.27
	"Adams County, CO"	"08001"	"Non-Hispanic Black"	"7"	24	1848	12.99
	"Arapahoe County, CO"	"08005"	"Mexican"	"2148-5"	89	12931	6.88
	"Arapahoe County, CO"	"08005"	"Puerto Rican"	"2180-8"	Suppressed	442	Suppressed
	"Arapahoe County, CO"	"08005"	"Cuban"	"2182-4"	Suppressed	114	Suppressed
	"Arapahoe County, CO"	"08005"	"Central or South American"	"4"	10	1576	6.35 (Unreliable)
	"Arapahoe County, CO"	"08005"	"Non-Hispanic White"	"6"	179	37065	4.83
	"Arapahoe County, CO"	"08005"	"Non-Hispanic Black"	"7"	93	8356	11.13
	"Boulder County, CO"	"08013"	"Mexican"	"2148-5"	28	5123	5.47
	"Boulder County, CO"	"08013"	"Puerto Rican"	"2180-8"	Suppressed	95	Suppressed
	"Boulder County, CO"	"08013"	"Cuban"	"2182-4"	Suppressed	38	Suppressed
	"Boulder County, CO"	"08013"	"Central or South American"	"4"	Suppressed	459	Suppressed
	"Boulder County, CO"	"08013"	"Non-Hispanic White"	"6"	86	18483	4.65
	"Boulder County, CO"	"08013"	"Non-Hispanic Black"	"7"	Suppressed	216	Suppressed
	"Denver County, CO"	"08031"	"Mexican"	"2148-5"	149	24767	6.02
	"Denver County, CO"	"08031"	"Puerto Rican"	"2180-8"	Suppressed	418	Suppressed
	"Denver County, CO"	"08031"	"Cuban"	"2182-4"	Suppressed	114	Suppressed
	"Denver County, CO"	"08031"	"Central or South American"	"4"	12	1731	6.93 (Unreliable)
	"Denver County, CO"	"08031"	"Non-Hispanic White"	"6"	176	40542	4.34
	"Denver County, CO"	"08031"	"Non-Hispanic Black"	"7"	111	9637	11.52
	"Douglas County, CO"	"08035"	"Mexican"	"2148-5"	Suppressed	349	Suppressed
	"Douglas County, CO"	"08035"	"Puerto Rican"	"2180-8"	Suppressed	27	Suppressed
	"Douglas County, CO"	"08035"	"Cuban"	"2182-4"	Suppressed	16	Suppressed
	"Douglas County, CO"	"08035"	"Central or South American"	"4"	Suppressed	80	Suppressed
	"Douglas County, CO"	"08035"	"Non-Hispanic White"	"6"	19	5583	3.40 (Unreliable)
	"Douglas County, CO"	"08035"	"Non-Hispanic Black"	"7"	Suppressed	75	Suppressed
	"El Paso County, CO"	"08041"	"Mexican"	"2148-5"	60	10227	5.87
	"El Paso County, CO"	"08041"	"Puerto Rican"	"2180-8"	13	1365	9.52 (Unreliable)
	"El Paso County, CO"	"08041"	"Cuban"	"2182-4"	Suppressed	197	Suppressed
	"El Paso County, CO"	"08041"	"Central or South American"	"4"	Suppressed	1217	Suppressed
	"El Paso County, CO"	"08041"	"Non-Hispanic White"	"6"	300	54308	5.52
	"El Paso County, CO"	"08041"	"Non-Hispanic Black"	"7"	67	6066	11.05
	"Jefferson County, CO"	"08059"	"Mexican"	"2148-5"	28	5717	4.90
	"Jefferson County, CO"	"08059"	"Puerto Rican"	"2180-8"	Suppressed	208	Suppressed
	"Jefferson County, CO"	"08059"	"Cuban"	"2182-4"	Suppressed	54	Suppressed
	"Jefferson County, CO"	"08059"	"Central or South American"	"4"	Suppressed	584	Suppressed
	"Jefferson County, CO"	"08059"	"Non-Hispanic White"	"6"	168	38439	4.37
	"Jefferson County, CO"	"08059"	"Non-Hispanic Black"	"7"	Suppressed	636	Suppressed
	"Larimer County, CO"	"08069"	"Mexican"	"2148-5"	28	4178	6.70
	"Larimer County, CO"	"08069"	"Puerto Rican"	"2180-8"	Suppressed	98	Suppressed
	"Larimer County, CO"	"08069"	"Cuban"	"2182-4"	Suppressed	35	Suppressed
	"Larimer County, CO"	"08069"	"Central or South American"	"4"	Suppressed	233	Suppressed
	"Larimer County, CO"	"08069"	"Non-Hispanic White"	"6"	90	24163	3.72
	"Larimer County, CO"	"08069"	"Non-Hispanic Black"	"7"	Suppressed	266	Suppressed
	"Weld County, CO"	"08123"	"Mexican"	"2148-5"	Suppressed	2329	Suppressed
	"Weld County, CO"	"08123"	"Puerto Rican"	"2180-8"	Suppressed	22	Suppressed
	"Weld County, CO"	"08123"	"Cuban"	"2182-4"	Suppressed	Suppressed	Suppressed
	"Weld County, CO"	"08123"	"Central or South American"	"4"	Suppressed	110	Suppressed
	"Weld County, CO"	"08123"	"Non-Hispanic White"	"6"	26	4985	5.22
	"Weld County, CO"	"08123"	"Non-Hispanic Black"	"7"	Suppressed	159	Suppressed
	"Unidentified Counties, CO"	"08999"	"Mexican"	"2148-5"	195	31422	6.21
	"Unidentified Counties, CO"	"08999"	"Puerto Rican"	"2180-8"	Suppressed	500	Suppressed
	"Unidentified Counties, CO"	"08999"	"Cuban"	"2182-4"	Suppressed	149	Suppressed
	"Unidentified Counties, CO"	"08999"	"Central or South American"	"4"	16	2648	6.04 (Unreliable)
	"Unidentified Counties, CO"	"08999"	"Non-Hispanic White"	"6"	525	113612	4.62
	"Unidentified Counties, CO"	"08999"	"Non-Hispanic Black"	"7"	10	1531	6.53 (Unreliable)
	"Fairfield County, CT"	"09001"	"Mexican"	"2148-5"	22	3538	6.22
	"Fairfield County, CT"	"09001"	"Puerto Rican"	"2180-8"	63	7306	8.62
	"Fairfield County, CT"	"09001"	"Cuban"	"2182-4"	Suppressed	253	Suppressed
	"Fairfield County, CT"	"09001"	"Central or South American"	"4"	58	13251	4.38
	"Fairfield County, CT"	"09001"	"Non-Hispanic White"	"6"	133	50650	2.63
	"Fairfield County, CT"	"09001"	"Non-Hispanic Black"	"7"	132	11626	11.35
	"Hartford County, CT"	"09003"	"Mexican"	"2148-5"	Suppressed	1177	Suppressed
	"Hartford County, CT"	"09003"	"Puerto Rican"	"2180-8"	142	15892	8.94
	"Hartford County, CT"	"09003"	"Cuban"	"2182-4"	Suppressed	202	Suppressed
	"Hartford County, CT"	"09003"	"Central or South American"	"4"	14	3728	3.76 (Unreliable)
	"Hartford County, CT"	"09003"	"Non-Hispanic White"	"6"	188	44904	4.19
	"Hartford County, CT"	"09003"	"Non-Hispanic Black"	"7"	167	14444	11.56
	"New Haven County, CT"	"09009"	"Mexican"	"2148-5"	18	3242	5.55 (Unreliable)
