"Notes"	"State"	"State Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Year of Death"	"Year of Death Code"	Deaths	Births	Death Rate
	"Alaska"	"02"	"Non-Hispanic White"	"6"	"2005"	"2005"	28	5947	4.71
	"Alaska"	"02"	"Non-Hispanic White"	"6"	"2006"	"2006"	30	6291	4.77
	"Alaska"	"02"	"Non-Hispanic Black"	"7"	"2003"	"2003"	Suppressed	264	Suppressed
	"Alaska"	"02"	"Non-Hispanic Black"	"7"	"2004"	"2004"	Suppressed	300	Suppressed
	"Alaska"	"02"	"Non-Hispanic Black"	"7"	"2005"	"2005"	Suppressed	374	Suppressed
	"Alaska"	"02"	"Non-Hispanic Black"	"7"	"2006"	"2006"	Suppressed	397	Suppressed
	"Arizona"	"04"	"Mexican"	"2148-5"	"2003"	"2003"	241	37398	6.44
	"Arizona"	"04"	"Mexican"	"2148-5"	"2004"	"2004"	275	38910	7.07
	"Arizona"	"04"	"Mexican"	"2148-5"	"2005"	"2005"	269	40069	6.71
	"Arizona"	"04"	"Mexican"	"2148-5"	"2006"	"2006"	292	43273	6.75
	"Arizona"	"04"	"Puerto Rican"	"2180-8"	"2003"	"2003"	Suppressed	276	Suppressed
	"Arizona"	"04"	"Puerto Rican"	"2180-8"	"2004"	"2004"	Suppressed	300	Suppressed
	"Arizona"	"04"	"Puerto Rican"	"2180-8"	"2005"	"2005"	Suppressed	324	Suppressed
	"Arizona"	"04"	"Puerto Rican"	"2180-8"	"2006"	"2006"	Suppressed	277	Suppressed
	"Arizona"	"04"	"Cuban"	"2182-4"	"2003"	"2003"	Suppressed	63	Suppressed
	"Arizona"	"04"	"Cuban"	"2182-4"	"2004"	"2004"	Suppressed	53	Suppressed
	"Arizona"	"04"	"Cuban"	"2182-4"	"2005"	"2005"	Suppressed	66	Suppressed
	"Arizona"	"04"	"Cuban"	"2182-4"	"2006"	"2006"	Suppressed	72	Suppressed
	"Arizona"	"04"	"Central or South American"	"4"	"2003"	"2003"	Suppressed	788	Suppressed
	"Arizona"	"04"	"Central or South American"	"4"	"2004"	"2004"	Suppressed	884	Suppressed
	"Arizona"	"04"	"Central or South American"	"4"	"2005"	"2005"	Suppressed	1019	Suppressed
	"Arizona"	"04"	"Central or South American"	"4"	"2006"	"2006"	Suppressed	1255	Suppressed
	"Arizona"	"04"	"Non-Hispanic White"	"6"	"2003"	"2003"	212	39222	5.41
	"Arizona"	"04"	"Non-Hispanic White"	"6"	"2004"	"2004"	242	39632	6.11
	"Arizona"	"04"	"Non-Hispanic White"	"6"	"2005"	"2005"	261	40065	6.51
	"Arizona"	"04"	"Non-Hispanic White"	"6"	"2006"	"2006"	242	43373	5.58
	"Arizona"	"04"	"Non-Hispanic Black"	"7"	"2003"	"2003"	35	2636	13.28
	"Arizona"	"04"	"Non-Hispanic Black"	"7"	"2004"	"2004"	28	2821	9.93
	"Arizona"	"04"	"Non-Hispanic Black"	"7"	"2005"	"2005"	32	3019	10.60
	"Arizona"	"04"	"Non-Hispanic Black"	"7"	"2006"	"2006"	56	3594	15.58
	"Arkansas"	"05"	"Mexican"	"2148-5"	"2003"	"2003"	18	2752	6.54 (Unreliable)
	"Arkansas"	"05"	"Mexican"	"2148-5"	"2004"	"2004"	19	2924	6.50 (Unreliable)
	"Arkansas"	"05"	"Mexican"	"2148-5"	"2005"	"2005"	14	3323	4.21 (Unreliable)
	"Arkansas"	"05"	"Mexican"	"2148-5"	"2006"	"2006"	26	3521	7.38
	"Arkansas"	"05"	"Puerto Rican"	"2180-8"	"2003"	"2003"	Suppressed	35	Suppressed
	"Arkansas"	"05"	"Puerto Rican"	"2180-8"	"2004"	"2004"	Suppressed	33	Suppressed
	"Arkansas"	"05"	"Puerto Rican"	"2180-8"	"2005"	"2005"	Suppressed	49	Suppressed
	"Arkansas"	"05"	"Puerto Rican"	"2180-8"	"2006"	"2006"	Suppressed	46	Suppressed
	"Arkansas"	"05"	"Cuban"	"2182-4"	"2003"	"2003"	Suppressed	Suppressed	Suppressed
	"Arkansas"	"05"	"Cuban"	"2182-4"	"2004"	"2004"	Suppressed	Suppressed	Suppressed
	"Arkansas"	"05"	"Cuban"	"2182-4"	"2005"	"2005"	Suppressed	12	Suppressed
	"Arkansas"	"05"	"Cuban"	"2182-4"	"2006"	"2006"	Suppressed	Suppressed	Suppressed
	"Arkansas"	"05"	"Central or South American"	"4"	"2003"	"2003"	Suppressed	444	Suppressed
	"Arkansas"	"05"	"Central or South American"	"4"	"2004"	"2004"	Suppressed	515	Suppressed
	"Arkansas"	"05"	"Central or South American"	"4"	"2005"	"2005"	Suppressed	604	Suppressed
	"Arkansas"	"05"	"Central or South American"	"4"	"2006"	"2006"	Suppressed	754	Suppressed
	"Arkansas"	"05"	"Non-Hispanic White"	"6"	"2003"	"2003"	205	26480	7.74
	"Arkansas"	"05"	"Non-Hispanic White"	"6"	"2004"	"2004"	197	26797	7.35
	"Arkansas"	"05"	"Non-Hispanic White"	"6"	"2005"	"2005"	176	26717	6.59
	"Arkansas"	"05"	"Non-Hispanic White"	"6"	"2006"	"2006"	191	27679	6.90
	"Arkansas"	"05"	"Non-Hispanic Black"	"7"	"2003"	"2003"	96	7190	13.35
	"Arkansas"	"05"	"Non-Hispanic Black"	"7"	"2004"	"2004"	96	7343	13.07
	"Arkansas"	"05"	"Non-Hispanic Black"	"7"	"2005"	"2005"	105	7406	14.18
	"Arkansas"	"05"	"Non-Hispanic Black"	"7"	"2006"	"2006"	115	7843	14.66
	"California"	"06"	"Mexican"	"2148-5"	"2003"	"2003"	1216	235975	5.15
	"California"	"06"	"Mexican"	"2148-5"	"2004"	"2004"	1212	240669	5.04
	"California"	"06"	"Mexican"	"2148-5"	"2005"	"2005"	1236	246526	5.01
	"California"	"06"	"Mexican"	"2148-5"	"2006"	"2006"	1200	254428	4.72
	"California"	"06"	"Puerto Rican"	"2180-8"	"2003"	"2003"	11	1975	5.57 (Unreliable)
	"California"	"06"	"Puerto Rican"	"2180-8"	"2004"	"2004"	16	2025	7.90 (Unreliable)
	"California"	"06"	"Puerto Rican"	"2180-8"	"2005"	"2005"	18	2118	8.50 (Unreliable)
	"California"	"06"	"Puerto Rican"	"2180-8"	"2006"	"2006"	18	2151	8.37 (Unreliable)
	"California"	"06"	"Cuban"	"2182-4"	"2003"	"2003"	Suppressed	729	Suppressed
	"California"	"06"	"Cuban"	"2182-4"	"2004"	"2004"	Suppressed	688	Suppressed
	"California"	"06"	"Cuban"	"2182-4"	"2005"	"2005"	Suppressed	755	Suppressed
	"California"	"06"	"Cuban"	"2182-4"	"2006"	"2006"	Suppressed	693	Suppressed
	"California"	"06"	"Central or South American"	"4"	"2003"	"2003"	99	25577	3.87
	"California"	"06"	"Central or South American"	"4"	"2004"	"2004"	101	26586	3.80
	"California"	"06"	"Central or South American"	"4"	"2005"	"2005"	123	27675	4.44
	"California"	"06"	"Central or South American"	"4"	"2006"	"2006"	129	28265	4.56
	"California"	"06"	"Non-Hispanic White"	"6"	"2003"	"2003"	755	166764	4.53
	"California"	"06"	"Non-Hispanic White"	"6"	"2004"	"2004"	732	162716	4.50
	"California"	"06"	"Non-Hispanic White"	"6"	"2005"	"2005"	777	159723	4.86
	"California"	"06"	"Non-Hispanic White"	"6"	"2006"	"2006"	736	158426	4.65
	"California"	"06"	"Non-Hispanic Black"	"7"	"2003"	"2003"	333	30925	10.77
	"California"	"06"	"Non-Hispanic Black"	"7"	"2004"	"2004"	347	30479	11.38
	"California"	"06"	"Non-Hispanic Black"	"7"	"2005"	"2005"	368	30520	12.06
	"California"	"06"	"Non-Hispanic Black"	"7"	"2006"	"2006"	346	32056	10.79
	"Colorado"	"08"	"Mexican"	"2148-5"	"2003"	"2003"	90	17003	5.29
	"Colorado"	"08"	"Mexican"	"2148-5"	"2004"	"2004"	130	17374	7.48
	"Colorado"	"08"	"Mexican"	"2148-5"	"2005"	"2005"	122	17469	6.98
	"Colorado"	"08"	"Mexican"	"2148-5"	"2006"	"2006"	113	17916	6.31
	"Colorado"	"08"	"Puerto Rican"	"2180-8"	"2003"	"2003"	Suppressed	272	Suppressed
	"Colorado"	"08"	"Puerto Rican"	"2180-8"	"2004"	"2004"	Suppressed	280	Suppressed
	"Colorado"	"08"	"Puerto Rican"	"2180-8"	"2005"	"2005"	Suppressed	291	Suppressed
	"Colorado"	"08"	"Puerto Rican"	"2180-8"	"2006"	"2006"	Suppressed	311	Suppressed
	"Colorado"	"08"	"Cuban"	"2182-4"	"2003"	"2003"	Suppressed	71	Suppressed
	"Colorado"	"08"	"Cuban"	"2182-4"	"2004"	"2004"	Suppressed	69	Suppressed
	"Colorado"	"08"	"Cuban"	"2182-4"	"2005"	"2005"	Suppressed	72	Suppressed
	"Colorado"	"08"	"Cuban"	"2182-4"	"2006"	"2006"	Suppressed	78	Suppressed
	"Colorado"	"08"	"Central or South American"	"4"	"2003"	"2003"	Suppressed	796	Suppressed
	"Colorado"	"08"	"Central or South American"	"4"	"2004"	"2004"	Suppressed	730	Suppressed
	"Colorado"	"08"	"Central or South American"	"4"	"2005"	"2005"	Suppressed	852	Suppressed
	"Colorado"	"08"	"Central or South American"	"4"	"2006"	"2006"	Suppressed	1155	Suppressed
	"Colorado"	"08"	"Non-Hispanic White"	"6"	"2003"	"2003"	230	42348	5.43
	"Colorado"	"08"	"Non-Hispanic White"	"6"	"2004"	"2004"	207	41192	5.03
	"Colorado"	"08"	"Non-Hispanic White"	"6"	"2005"	"2005"	217	41454	5.23
	"Colorado"	"08"	"Non-Hispanic White"	"6"	"2006"	"2006"	222	42127	5.27
	"Colorado"	"08"	"Non-Hispanic Black"	"7"	"2003"	"2003"	50	2807	17.81
	"Colorado"	"08"	"Non-Hispanic Black"	"7"	"2004"	"2004"	44	2799	15.72
	"Colorado"	"08"	"Non-Hispanic Black"	"7"	"2005"	"2005"	45	2959	15.21
	"Colorado"	"08"	"Non-Hispanic Black"	"7"	"2006"	"2006"	33	2975	11.09
	"Connecticut"	"09"	"Mexican"	"2148-5"	"2003"	"2003"	Suppressed	897	Suppressed
	"Connecticut"	"09"	"Mexican"	"2148-5"	"2004"	"2004"	Suppressed	1000	Suppressed
	"Connecticut"	"09"	"Mexican"	"2148-5"	"2005"	"2005"	Suppressed	1035	Suppressed
	"Connecticut"	"09"	"Mexican"	"2148-5"	"2006"	"2006"	10	1105	9.05 (Unreliable)
	"Connecticut"	"09"	"Puerto Rican"	"2180-8"	"2003"	"2003"	34	4261	7.98
	"Connecticut"	"09"	"Puerto Rican"	"2180-8"	"2004"	"2004"	47	4149	11.33
	"Connecticut"	"09"	"Puerto Rican"	"2180-8"	"2005"	"2005"	40	4364	9.17
	"Connecticut"	"09"	"Puerto Rican"	"2180-8"	"2006"	"2006"	35	4512	7.76
	"Connecticut"	"09"	"Cuban"	"2182-4"	"2003"	"2003"	Suppressed	94	Suppressed
	"Connecticut"	"09"	"Cuban"	"2182-4"	"2004"	"2004"	Suppressed	67	Suppressed
	"Connecticut"	"09"	"Cuban"	"2182-4"	"2005"	"2005"	Suppressed	79	Suppressed
	"Connecticut"	"09"	"Cuban"	"2182-4"	"2006"	"2006"	Suppressed	84	Suppressed
	"Connecticut"	"09"	"Central or South American"	"4"	"2003"	"2003"	Suppressed	2034	Suppressed
	"Connecticut"	"09"	"Central or South American"	"4"	"2004"	"2004"	11	2145	5.13 (Unreliable)
	"Connecticut"	"09"	"Central or South American"	"4"	"2005"	"2005"	16	2299	6.96 (Unreliable)
	"Connecticut"	"09"	"Central or South American"	"4"	"2006"	"2006"	Suppressed	2581	Suppressed
	"Connecticut"	"09"	"Non-Hispanic White"	"6"	"2003"	"2003"	119	28047	4.24
	"Connecticut"	"09"	"Non-Hispanic White"	"6"	"2004"	"2004"	100	27132	3.69
	"Connecticut"	"09"	"Non-Hispanic White"	"6"	"2005"	"2005"	97	26369	3.68
	"Connecticut"	"09"	"Non-Hispanic White"	"6"	"2006"	"2006"	117	25665	4.56
	"Connecticut"	"09"	"Non-Hispanic Black"	"7"	"2003"	"2003"	55	4812	11.43
	"Connecticut"	"09"	"Non-Hispanic Black"	"7"	"2004"	"2004"	56	4910	11.41
	"Connecticut"	"09"	"Non-Hispanic Black"	"7"	"2005"	"2005"	74	4872	15.19
	"Connecticut"	"09"	"Non-Hispanic Black"	"7"	"2006"	"2006"	70	5171	13.54
	"Delaware"	"10"	"Mexican"	"2148-5"	"2003"	"2003"	Suppressed	791	Suppressed
	"Delaware"	"10"	"Mexican"	"2148-5"	"2004"	"2004"	Suppressed	861	Suppressed
	"Delaware"	"10"	"Mexican"	"2148-5"	"2005"	"2005"	Suppressed	1002	Suppressed
	"Delaware"	"10"	"Mexican"	"2148-5"	"2006"	"2006"	Suppressed	1039	Suppressed
	"Delaware"	"10"	"Puerto Rican"	"2180-8"	"2003"	"2003"	Suppressed	309	Suppressed
	"Delaware"	"10"	"Puerto Rican"	"2180-8"	"2004"	"2004"	Suppressed	285	Suppressed
	"Delaware"	"10"	"Puerto Rican"	"2180-8"	"2005"	"2005"	Suppressed	256	Suppressed
	"Delaware"	"10"	"Puerto Rican"	"2180-8"	"2006"	"2006"	Suppressed	369	Suppressed
	"Delaware"	"10"	"Cuban"	"2182-4"	"2003"	"2003"	Suppressed	Suppressed	Suppressed
	"Delaware"	"10"	"Cuban"	"2182-4"	"2004"	"2004"	Suppressed	Suppressed	Suppressed
	"Delaware"	"10"	"Cuban"	"2182-4"	"2005"	"2005"	Suppressed	Suppressed	Suppressed
	"Delaware"	"10"	"Cuban"	"2182-4"	"2006"	"2006"	Suppressed	15	Suppressed
	"Delaware"	"10"	"Central or South American"	"4"	"2003"	"2003"	Suppressed	271	Suppressed
	"Delaware"	"10"	"Central or South American"	"4"	"2004"	"2004"	Suppressed	354	Suppressed
	"Delaware"	"10"	"Central or South American"	"4"	"2005"	"2005"	Suppressed	379	Suppressed
	"Delaware"	"10"	"Central or South American"	"4"	"2006"	"2006"	Suppressed	408	Suppressed
	"Delaware"	"10"	"Non-Hispanic White"	"6"	"2003"	"2003"	44	6584	6.68
	"Delaware"	"10"	"Non-Hispanic White"	"6"	"2004"	"2004"	44	6442	6.83
	"Delaware"	"10"	"Non-Hispanic White"	"6"	"2005"	"2005"	38	6479	5.87
	"Delaware"	"10"	"Non-Hispanic White"	"6"	"2006"	"2006"	41	6580	6.23
	"Delaware"	"10"	"Non-Hispanic Black"	"7"	"2003"	"2003"	52	2848	18.26
	"Delaware"	"10"	"Non-Hispanic Black"	"7"	"2004"	"2004"	42	2852	14.73
	"Delaware"	"10"	"Non-Hispanic Black"	"7"	"2005"	"2005"	50	2875	17.39
	"Delaware"	"10"	"Non-Hispanic Black"	"7"	"2006"	"2006"	39	2996	13.02
	"District of Columbia"	"11"	"Mexican"	"2148-5"	"2003"	"2003"	Suppressed	101	Suppressed
	"District of Columbia"	"11"	"Mexican"	"2148-5"	"2004"	"2004"	Suppressed	123	Suppressed
	"District of Columbia"	"11"	"Mexican"	"2148-5"	"2005"	"2005"	Suppressed	140	Suppressed
	"District of Columbia"	"11"	"Mexican"	"2148-5"	"2006"	"2006"	Suppressed	184	Suppressed
	"District of Columbia"	"11"	"Puerto Rican"	"2180-8"	"2003"	"2003"	Suppressed	12	Suppressed
	"District of Columbia"	"11"	"Puerto Rican"	"2180-8"	"2004"	"2004"	Suppressed	15	Suppressed
	"District of Columbia"	"11"	"Puerto Rican"	"2180-8"	"2005"	"2005"	Suppressed	13	Suppressed
	"District of Columbia"	"11"	"Puerto Rican"	"2180-8"	"2006"	"2006"	Suppressed	17	Suppressed
	"District of Columbia"	"11"	"Cuban"	"2182-4"	"2003"	"2003"	Suppressed	Suppressed	Suppressed
	"District of Columbia"	"11"	"Cuban"	"2182-4"	"2004"	"2004"	Suppressed	Suppressed	Suppressed
	"District of Columbia"	"11"	"Cuban"	"2182-4"	"2005"	"2005"	Suppressed	Suppressed	Suppressed
	"District of Columbia"	"11"	"Cuban"	"2182-4"	"2006"	"2006"	Suppressed	Suppressed	Suppressed
	"District of Columbia"	"11"	"Central or South American"	"4"	"2003"	"2003"	Suppressed	802	Suppressed
	"District of Columbia"	"11"	"Central or South American"	"4"	"2004"	"2004"	Suppressed	819	Suppressed
	"District of Columbia"	"11"	"Central or South American"	"4"	"2005"	"2005"	Suppressed	902	Suppressed
	"District of Columbia"	"11"	"Central or South American"	"4"	"2006"	"2006"	Suppressed	1068	Suppressed
	"District of Columbia"	"11"	"Non-Hispanic White"	"6"	"2003"	"2003"	Suppressed	1844	Suppressed
	"District of Columbia"	"11"	"Non-Hispanic White"	"6"	"2004"	"2004"	Suppressed	2007	Suppressed
	"District of Columbia"	"11"	"Non-Hispanic White"	"6"	"2005"	"2005"	Suppressed	2062	Suppressed
	"District of Columbia"	"11"	"Non-Hispanic White"	"6"	"2006"	"2006"	Suppressed	2143	Suppressed
	"District of Columbia"	"11"	"Non-Hispanic Black"	"7"	"2003"	"2003"	66	4571	14.44
	"District of Columbia"	"11"	"Non-Hispanic Black"	"7"	"2004"	"2004"	81	4691	17.27
	"District of Columbia"	"11"	"Non-Hispanic Black"	"7"	"2005"	"2005"	91	4604	19.77
	"District of Columbia"	"11"	"Non-Hispanic Black"	"7"	"2006"	"2006"	89	4846	18.37
	"Florida"	"12"	"Mexican"	"2148-5"	"2003"	"2003"	78	13355	5.84
	"Florida"	"12"	"Mexican"	"2148-5"	"2004"	"2004"	68	14609	4.65
	"Florida"	"12"	"Mexican"	"2148-5"	"2005"	"2005"	101	16883	5.98
	"Florida"	"12"	"Mexican"	"2148-5"	"2006"	"2006"	101	18643	5.42
	"Florida"	"12"	"Puerto Rican"	"2180-8"	"2003"	"2003"	87	9514	9.14
	"Florida"	"12"	"Puerto Rican"	"2180-8"	"2004"	"2004"	60	9993	6.00
	"Florida"	"12"	"Puerto Rican"	"2180-8"	"2005"	"2005"	82	10985	7.46
	"Florida"	"12"	"Puerto Rican"	"2180-8"	"2006"	"2006"	86	12059	7.13
	"Florida"	"12"	"Cuban"	"2182-4"	"2003"	"2003"	43	10558	4.07
	"Florida"	"12"	"Cuban"	"2182-4"	"2004"	"2004"	46	10571	4.35
	"Florida"	"12"	"Cuban"	"2182-4"	"2005"	"2005"	44	11409	3.86
	"Florida"	"12"	"Cuban"	"2182-4"	"2006"	"2006"	60	12100	4.96
	"Florida"	"12"	"Central or South American"	"4"	"2003"	"2003"	87	20187	4.31
	"Florida"	"12"	"Central or South American"	"4"	"2004"	"2004"	83	21695	3.83
	"Florida"	"12"	"Central or South American"	"4"	"2005"	"2005"	110	23342	4.71
	"Florida"	"12"	"Central or South American"	"4"	"2006"	"2006"	109	26203	4.16
	"Florida"	"12"	"Non-Hispanic White"	"6"	"2003"	"2003"	608	104289	5.83
	"Florida"	"12"	"Non-Hispanic White"	"6"	"2004"	"2004"	599	105218	5.69
	"Florida"	"12"	"Non-Hispanic White"	"6"	"2005"	"2005"	623	106530	5.85
	"Florida"	"12"	"Non-Hispanic White"	"6"	"2006"	"2006"	647	107433	6.02
	"Florida"	"12"	"Non-Hispanic Black"	"7"	"2003"	"2003"	619	46295	13.37
	"Florida"	"12"	"Non-Hispanic Black"	"7"	"2004"	"2004"	591	47019	12.57
	"Florida"	"12"	"Non-Hispanic Black"	"7"	"2005"	"2005"	619	48266	12.82
	"Florida"	"12"	"Non-Hispanic Black"	"7"	"2006"	"2006"	657	51081	12.86
	"Georgia"	"13"	"Mexican"	"2148-5"	"2003"	"2003"	85	14372	5.91
	"Georgia"	"13"	"Mexican"	"2148-5"	"2004"	"2004"	74	15744	4.70
	"Georgia"	"13"	"Mexican"	"2148-5"	"2005"	"2005"	82	16981	4.83
	"Georgia"	"13"	"Mexican"	"2148-5"	"2006"	"2006"	93	17943	5.18
	"Georgia"	"13"	"Puerto Rican"	"2180-8"	"2003"	"2003"	12	586	20.48 (Unreliable)
	"Georgia"	"13"	"Puerto Rican"	"2180-8"	"2004"	"2004"	Suppressed	644	Suppressed
	"Georgia"	"13"	"Puerto Rican"	"2180-8"	"2005"	"2005"	Suppressed	617	Suppressed
	"Georgia"	"13"	"Puerto Rican"	"2180-8"	"2006"	"2006"	Suppressed	756	Suppressed
	"Georgia"	"13"	"Cuban"	"2182-4"	"2003"	"2003"	Suppressed	137	Suppressed
	"Georgia"	"13"	"Cuban"	"2182-4"	"2004"	"2004"	Suppressed	145	Suppressed
	"Georgia"	"13"	"Cuban"	"2182-4"	"2005"	"2005"	Suppressed	140	Suppressed
	"Georgia"	"13"	"Cuban"	"2182-4"	"2006"	"2006"	Suppressed	192	Suppressed
	"Georgia"	"13"	"Central or South American"	"4"	"2003"	"2003"	21	3057	6.87
	"Georgia"	"13"	"Central or South American"	"4"	"2004"	"2004"	17	3405	4.99 (Unreliable)
	"Georgia"	"13"	"Central or South American"	"4"	"2005"	"2005"	19	3981	4.77 (Unreliable)
	"Georgia"	"13"	"Central or South American"	"4"	"2006"	"2006"	28	4588	6.10
	"Georgia"	"13"	"Non-Hispanic White"	"6"	"2003"	"2003"	412	68900	5.98
	"Georgia"	"13"	"Non-Hispanic White"	"6"	"2004"	"2004"	438	68603	6.38
	"Georgia"	"13"	"Non-Hispanic White"	"6"	"2005"	"2005"	410	68123	6.02
	"Georgia"	"13"	"Non-Hispanic White"	"6"	"2006"	"2006"	402	69494	5.78
	"Georgia"	"13"	"Non-Hispanic Black"	"7"	"2003"	"2003"	576	42038	13.70
	"Georgia"	"13"	"Non-Hispanic Black"	"7"	"2004"	"2004"	588	43154	13.63
	"Georgia"	"13"	"Non-Hispanic Black"	"7"	"2005"	"2005"	567	45327	12.51
	"Georgia"	"13"	"Non-Hispanic Black"	"7"	"2006"	"2006"	620	48693	12.73
	"Hawaii"	"15"	"Mexican"	"2148-5"	"2003"	"2003"	Suppressed	503	Suppressed
	"Hawaii"	"15"	"Mexican"	"2148-5"	"2004"	"2004"	Suppressed	493	Suppressed
	"Hawaii"	"15"	"Mexican"	"2148-5"	"2005"	"2005"	Suppressed	534	Suppressed
	"Hawaii"	"15"	"Mexican"	"2148-5"	"2006"	"2006"	Suppressed	598	Suppressed
	"Hawaii"	"15"	"Puerto Rican"	"2180-8"	"2003"	"2003"	Suppressed	760	Suppressed
	"Hawaii"	"15"	"Puerto Rican"	"2180-8"	"2004"	"2004"	Suppressed	732	Suppressed
	"Hawaii"	"15"	"Puerto Rican"	"2180-8"	"2005"	"2005"	Suppressed	754	Suppressed
	"Hawaii"	"15"	"Puerto Rican"	"2180-8"	"2006"	"2006"	Suppressed	852	Suppressed
	"Hawaii"	"15"	"Cuban"	"2182-4"	"2003"	"2003"	Suppressed	12	Suppressed
	"Hawaii"	"15"	"Cuban"	"2182-4"	"2004"	"2004"	Suppressed	14	Suppressed
	"Hawaii"	"15"	"Cuban"	"2182-4"	"2005"	"2005"	Suppressed	22	Suppressed
	"Hawaii"	"15"	"Cuban"	"2182-4"	"2006"	"2006"	Suppressed	17	Suppressed
	"Hawaii"	"15"	"Central or South American"	"4"	"2003"	"2003"	Suppressed	88	Suppressed
	"Hawaii"	"15"	"Central or South American"	"4"	"2004"	"2004"	Suppressed	108	Suppressed
	"Hawaii"	"15"	"Central or South American"	"4"	"2005"	"2005"	Suppressed	131	Suppressed
	"Hawaii"	"15"	"Central or South American"	"4"	"2006"	"2006"	Suppressed	124	Suppressed
	"Hawaii"	"15"	"Non-Hispanic White"	"6"	"2003"	"2003"	18	4275	4.21 (Unreliable)
